Node_ID,index_0,index_1,index_2,index_3,index_4,index_5,index_6,index_7
ID_0,-0.007045434322208166,0.10217311233282089,-0.5355162024497986,0.07370256632566452,-0.13481737673282623,-0.0863051638007164,0.133154958486557,-0.010533934459090233
ID_1,-0.0050298115238547325,0.09809119999408722,-0.44175854325294495,0.0689677819609642,-0.12479578703641891,-0.08395936340093613,0.10054448992013931,-0.015772745013237
ID_2,-0.006542933639138937,0.09474284946918488,-0.35951852798461914,0.06607884168624878,-0.1166023388504982,-0.08001513034105301,0.07066584378480911,-0.015508878976106644
ID_3,-0.0028508997056633234,0.08388536423444748,-0.23056264221668243,0.058265067636966705,-0.10125407576560974,-0.0722651258111,-0.0005070270854048431,-0.023217562586069107
ID_4,0.003227629465982318,0.07511758804321289,-0.14180681109428406,0.05062231793999672,-0.08842314779758453,-0.06678549945354462,-0.05534687638282776,-0.031832966953516006
ID_5,0.00511315418407321,0.0698845386505127,-0.06095796450972557,0.045357055962085724,-0.07883138954639435,-0.06215132400393486,-0.09261421859264374,-0.035397712141275406
ID_6,0.007536290213465691,0.06435352563858032,-0.009717806242406368,0.04265626519918442,-0.07498360425233841,-0.057445138692855835,-0.12613579630851746,-0.04061678424477577
ID_7,-0.012457466684281826,0.11554819345474243,-0.6304150223731995,0.08039994537830353,-0.1538381725549698,-0.09870516508817673,0.2193540781736374,-0.003309123683720827
ID_8,-0.014516067691147327,0.11611276119947433,-0.4662693440914154,0.0710998922586441,-0.1369585245847702,-0.09713667631149292,0.18205693364143372,-0.0034470504615455866
ID_9,-0.017772814258933067,0.11262877285480499,-0.3258110284805298,0.06540781259536743,-0.1223052367568016,-0.09304975718259811,0.13644887506961823,-0.002027516718953848
ID_10,-0.017907889559864998,0.10164658725261688,-0.22107946872711182,0.06168351322412491,-0.108151376247406,-0.08373966813087463,0.07015025615692139,-0.002852055011317134
ID_11,-0.004505491349846125,0.08221422135829926,-0.10904618352651596,0.0506046898663044,-0.08550165593624115,-0.06839568167924881,-0.03864913433790207,-0.01903386600315571
ID_12,0.0022108901757746935,0.07168856263160706,-0.044780049473047256,0.0451996736228466,-0.07670703530311584,-0.06093587353825569,-0.09287184476852417,-0.03017442859709263
ID_13,0.004806065931916237,0.06624408811330795,-0.0015960625605657697,0.043057750910520554,-0.07375448942184448,-0.056380465626716614,-0.12423481792211533,-0.03544023633003235
ID_14,-0.01278646569699049,0.12317243963479996,-0.7054615616798401,0.08329484611749649,-0.16416800022125244,-0.10644487291574478,0.27107691764831543,-0.001669101882725954
ID_15,-0.018835391849279404,0.12697851657867432,-0.48294365406036377,0.07144041359424591,-0.1445770114660263,-0.10613366961479187,0.2324800044298172,0.0013541207881644368
ID_16,-0.024518361315131187,0.13191452622413635,-0.26811566948890686,0.0587441511452198,-0.12393210083246231,-0.10896731913089752,0.19678866863250732,0.004321839660406113
ID_17,-0.024469969794154167,0.12120795249938965,-0.12609125673770905,0.05312744528055191,-0.10535776615142822,-0.09954041987657547,0.12388639897108078,0.0036589023657143116
ID_18,-0.021142276003956795,0.10955341905355453,-0.04712624475359917,0.050087351351976395,-0.0922073945403099,-0.08986691385507584,0.06215884909033775,-0.0001595322391949594
ID_19,-0.013139850459992886,0.07853524386882782,0.03305211663246155,0.04713400825858116,-0.07091905921697617,-0.05281800031661987,-0.09756465256214142,-0.003478349419310689
ID_20,-0.008408376015722752,0.07504815608263016,0.040664803236722946,0.045587074011564255,-0.06869631260633469,-0.05080919340252876,-0.11634663492441177,-0.00930712278932333
ID_22,-0.025795428082346916,0.1586858183145523,-0.15060241520404816,0.03962034359574318,-0.11575216799974442,-0.1285162717103958,0.26008763909339905,0.006577434483915567
ID_23,-0.023889880627393723,0.12262523174285889,-0.058060791343450546,0.047119393944740295,-0.09819727391004562,-0.09967995434999466,0.11352166533470154,0.003020733827725053
ID_24,-0.023726338520646095,0.10351289808750153,0.0040631783194839954,0.04916175827383995,-0.08730746060609818,-0.08065090328454971,0.033081576228141785,0.0024346138816326857
ID_25,-0.019595135003328323,0.08217563480138779,0.06454741954803467,0.04743523523211479,-0.07220899313688278,-0.05420297011733055,-0.0781991183757782,0.001882684649899602
ID_26,-0.013015168718993664,0.07750372588634491,0.05785613879561424,0.04593651741743088,-0.06904121488332748,-0.051366180181503296,-0.10696199536323547,-0.003896618727594614
ID_29,-0.029150785878300667,0.09835240989923477,0.10019875317811966,0.048006437718868256,-0.07865332812070847,-0.07220302522182465,-0.003401688300073147,0.007032121531665325
ID_30,-0.026039427146315575,0.08958021551370621,0.09399976581335068,0.04855586960911751,-0.07520739734172821,-0.06224610283970833,-0.044258277863264084,0.005576258525252342
ID_31,-0.018782349303364754,0.08073888719081879,0.07315520942211151,0.04662149026989937,-0.07063107192516327,-0.053199537098407745,-0.09093473851680756,0.0015542465262115002
ID_33,-0.031276408582925797,0.12355609983205795,0.15301378071308136,0.03810027241706848,-0.0822000503540039,-0.09366912394762039,0.09732787311077118,0.006227545440196991
ID_34,-0.03132040426135063,0.11109884083271027,0.14008118212223053,0.04320211336016655,-0.08031251281499863,-0.08387511968612671,0.046282585710287094,0.0070186033844947815
ID_35,-0.030726296827197075,0.09734330326318741,0.12329240143299103,0.048954445868730545,-0.07723547518253326,-0.071827232837677,-0.012159593403339386,0.008160268887877464
ID_36,-0.028606971725821495,0.1583704650402069,0.25978314876556396,0.02359476126730442,-0.07237092405557632,-0.10331495106220245,0.2139672338962555,0.004048984497785568
ID_37,-0.03216252103447914,0.1338556557893753,0.202607199549675,0.03431170806288719,-0.07923823595046997,-0.09410909563302994,0.13293543457984924,0.006667794194072485
ID_38,-0.033610109239816666,0.11911705881357193,0.16846834123134613,0.040338948369026184,-0.08264899998903275,-0.08895447105169296,0.08296463638544083,0.007838341407477856
