,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_22,ID_23,ID_24,ID_25,ID_26,ID_29,ID_30,ID_31,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38
ID_0,0.0,0.10015220626807093,0.18812165096772374,0.3360610729671676,0.441471802327511,0.5315140072634759,0.5929759091632307,0.13136537073954882,0.08726716882368563,0.21107987270717649,0.32230334849566206,0.4638498491878893,0.5460253213118803,0.5991119744847015,0.22319383325225756,0.11839979763313331,0.27895996074293294,0.41236930635727137,0.49629828878020305,0.618916325344271,0.6335591229718378,0.4140234702158834,0.48110442878194015,0.5518153992749774,0.6411698651644138,0.6455643629520367,0.6539163516403065,0.6582622929161187,0.653750437214388,0.6933777985435391,0.6847354470947858,0.6783925371211184,0.8059572384529577,0.7426024089647797,0.7094260464171374
ID_1,0.10015220626807093,0.0,0.08809517446938049,0.23639503356657346,0.3421717831112823,0.4321444030401565,0.4937945605718383,0.22674619533288373,0.0902101211850823,0.12408512795978155,0.22427357965166636,0.363948935566658,0.446504502398013,0.4998036406951589,0.31901374880451194,0.1459818638876287,0.20511720863739527,0.3199251407076838,0.3991193405100009,0.5192696364700952,0.5339953074911503,0.3431570103240457,0.38747278305547456,0.4536819525842807,0.5414671162102431,0.5458971985669001,0.5552757753122455,0.5588573595215486,0.5540489755762683,0.5987046860677262,0.5877961366685805,0.5796793456957852,0.7174883649014121,0.6497344017369847,0.6141035891671676
ID_2,0.18812165096772374,0.08809517446938049,0.0,0.14914028543662752,0.25540689501507674,0.3451424446644954,0.4069812202188129,0.3131304816012922,0.1587519320289256,0.07933625370349227,0.1400259541406534,0.2760460404475231,0.3591931044662583,0.41274387164730447,0.40513868989728913,0.21067912737387645,0.165243180721832,0.24369103105545784,0.31508300891127977,0.4313347922225948,0.4462264840060761,0.2958493897110201,0.308577366572289,0.3680260428673107,0.45344027938289305,0.4579472890982563,0.4687067171579544,0.4712473657105804,0.4660143749893861,0.517172505964888,0.5034267953426184,0.4929790149071507,0.6428777934308435,0.5702145929604101,0.5316845909746455
ID_3,0.3360610729671676,0.23639503356657346,0.14914028543662752,0.0,0.10642426827705283,0.1960330822889044,0.2578770113561019,0.46224032068847726,0.3041561077583593,0.17393450038371505,0.07893182999008956,0.1287085719885773,0.2101685672413807,0.26361583883452894,0.5542077728447155,0.3519843294006001,0.21385063177991911,0.17250471323756478,0.1988958537195852,0.28435778691669095,0.29827289608258334,0.29160680879595324,0.21511959093647662,0.2408406687061544,0.3087498472367624,0.31090483679251824,0.3344301716317412,0.33094898508016707,0.3205244082135514,0.4014712157992509,0.3779307578447317,0.35770891660068344,0.5444202711876708,0.45959542837074774,0.41266347505231216
ID_4,0.441471802327511,0.3421717831112823,0.25540689501507674,0.10642426827705283,0.0,0.0900568631434757,0.15166239842562435,0.5683991220151301,0.4100413581402093,0.2746562448151022,0.1575533960879237,0.040462102854105904,0.10506545071197967,0.15773237553136865,0.6603880621258575,0.45676175689816023,0.2965388993591154,0.19465004213916284,0.1615620276599425,0.18426935933807795,0.19577900740756005,0.33698108129716775,0.20230409142755976,0.17888641529645743,0.2127042773082794,0.21027303018177354,0.2539593497489433,0.24164521403801206,0.2227623247953843,0.3407820989841718,0.3069200986330917,0.2748497939345479,0.49533740742902527,0.40168787487504165,0.3477040143820732
ID_5,0.5315140072634759,0.4321444030401565,0.3451424446644954,0.1960330822889044,0.0900568631434757,0.0,0.06210636280764043,0.6581939968039064,0.49852802158523535,0.3596222668723336,0.23732142289907934,0.07647250566657,0.01751475395339026,0.06783370269708441,0.7500915122817877,0.5439479786679521,0.3706437111386948,0.2414777596968672,0.16917494816279102,0.10218673206679928,0.10959947402026064,0.38579529371394156,0.22222887163839702,0.15443316876399277,0.13498943076627776,0.12615133553380542,0.19448182154537227,0.17149588678684213,0.14209997109754235,0.29808855274476737,0.2549764464314518,0.21086963543173312,0.45782057180598984,0.3587951961326141,0.30002536030251603
ID_6,0.5929759091632307,0.4937945605718383,0.4069812202188129,0.2578770113561019,0.15166239842562435,0.06210636280764043,0.0,0.7199901467799712,0.5605303991755101,0.4211299980865924,0.29802660922912916,0.13690725009619273,0.05048446481740777,0.010497946535005768,0.8119317945919535,0.6057798693637371,0.42891776095167017,0.2916766858905489,0.2067839355959385,0.06863996607587751,0.06383802054350847,0.43356232864699695,0.26153918576394986,0.17503435355789074,0.1035096333538917,0.08342996619752249,0.17938082852512813,0.14634438605839029,0.10439966748466208,0.2915619210704972,0.2426090926526421,0.1893816905511951,0.45046153420337276,0.3496772270107919,0.2890851610423521
ID_7,0.13136537073954882,0.22674619533288373,0.3131304816012922,0.46224032068847726,0.5683991220151301,0.6581939968039064,0.7199901467799712,0.0,0.1694500809918717,0.31772056586564573,0.438978474356144,0.5884633212479732,0.6722564330725709,0.7258286040645409,0.09242916798316254,0.14944696541342664,0.36566409557494767,0.5165038833975143,0.6081551957707695,0.7430238306901973,0.7586111136167598,0.4878709692648585,0.5858456895466768,0.6658025043500448,0.763172830829618,0.7695886175281652,0.7690919238567204,0.7770020092228171,0.7763380275032624,0.7975631360710173,0.794424347145917,0.7937565066829105,0.8969478740983655,0.8425720120126263,0.8149656455008352
ID_8,0.08726716882368563,0.0902101211850823,0.1587519320289256,0.3041561077583593,0.4100413581402093,0.49852802158523535,0.5605303991755101,0.1694500809918717,0.0,0.14865131887408448,0.2719564449103298,0.42626955529607985,0.5116818087085245,0.5657401076919503,0.25723370925935496,0.0558515381419622,0.20088383769592577,0.3472864418510638,0.4389205711120976,0.5795030948981754,0.5960215891648614,0.3319637495253415,0.4166381949966321,0.49689315648105026,0.5977469378123118,0.6058658847122813,0.6003956314888989,0.6095711780923251,0.6113320067166614,0.6286652541837084,0.6250404905541278,0.62510058107486,0.732582701125424,0.674708409960151,0.6458907720772372
ID_9,0.21107987270717649,0.12408512795978155,0.07933625370349227,0.17393450038371505,0.2746562448151022,0.3596222668723336,0.4211299980865924,0.31772056586564573,0.14865131887408448,0.0,0.12564391317817694,0.2849878121340799,0.3714202040715919,0.4255002042615852,0.40576750031026687,0.18664065072796115,0.08790803148715884,0.2016847676248457,0.2904466288508882,0.435113883311564,0.45256395888996465,0.22407603845599441,0.270810447733963,0.3482567374935105,0.45137700784327056,0.46115393601504634,0.45177510685619143,0.46152424420578714,0.46531641381832056,0.48324741243128305,0.4772775688514155,0.4764829368963735,0.5962578156053269,0.5317840511939362,0.49978070037831046
